DATE,Value,Quality,Momentum
2010-01-03,0.0220999999999999,-0.0065,0.0356999999999999
2010-01-04,0.0289,0.0069,0.0316
2010-01-05,-0.0243999999999999,0.013,-0.002
2010-01-06,-0.047,-0.0016,-0.027
2010-01-07,-0.0031,0.0024,0.0178
2010-01-08,-0.019,0.0053,0.0004
2010-01-09,-0.0316,-0.0021,0.0138
2010-01-10,-0.0242,0.0118999999999999,0.0146
2010-01-11,-0.0096,0.0046,0.0273
2010-01-12,0.0369,-0.0344,-0.03
2011-01-01,0.0081999999999999,-0.0076,-0.003
2011-01-02,0.0127,-0.0194,0.0187999999999999
2011-01-03,-0.0183,0.0176,0.0345
2011-01-04,-0.0243,0.0101,0.0005
2011-01-05,-0.0212,0.0208,-0.006
